nombre,cantidad,unidad_medida,stock_minimo
HIERRO ALETADO 10MM,1000,unidad,1
SN- 507 SOPORTE ICO114024C,1000,unidad,1
"CURVA GALV 1"" 45 HH LATYN",1000,unidad,1
MANG 3/8 R2 1600MM HG X HG 7/8 JIC,1000,unidad,1
MANG 3/8 R2 2700MM HG X HG 7/8 JIC,1000,unidad,1
MANG 3/8 R2 2550MM HG X HG 7/8 JIC,1000,unidad,1
MANG 3/8 R2 2350MM HG X HG 7/8 JIC,1000,unidad,1
MANG 3/8 R2 1350MM HG X HG 7/8 JIC,1000,unidad,1
MANG 3/8 R2 1150MM HG X HG 7/8 JIC,1000,unidad,1
TEE MF 7/8 JIC,1000,unidad,1
"ADAPTADOR ""1"" NPT X HF 1"" AS/M BSP",1000,unidad,1
CODO GALV 1/2 90 HH LATYN,1000,unidad,1
"CODO GALV 3"" 90S HH DEMA",1000,unidad,1
CODO GALV 3/4 90 MH LATYN,1000,unidad,1
CUPLA C/8 GALV 3/8 DEMA,1000,unidad,1
CUPLA C/8 GALV 1/2 LATYN,1000,unidad,1
CUPLA C/5 GALV 1/2 LATYN,1000,unidad,1
TAPON GALV 1 1/4 M LATYN,1000,unidad,1
TAPON GALV 1 1/2 M LATYN,1000,unidad,1
"TAPA GALV 2"" H LATYN",1000,unidad,1
NIPLE GALV 3/8 X 15CM,1000,unidad,1
NIPLE GALV 3/4 X 15CM,1000,unidad,1
U.D.C. GALV 3/4 HH LATYN,1000,unidad,1
"U.D.C. GALV 1"" HH LATYN",1000,unidad,1
R.C.T. GALV 3/4 LATYN,1000,unidad,1
SOPORTE PLASTICO DOBLE PARA MANG 3/8,1000,unidad,1
CONECT AUTOMAT CODO 90 T6 X R1/8,1000,unidad,1
MANGU 3/4 R1 X 800MM HG X HG 1.1/16 JIC,1000,unidad,1
CAMBIO DE TERMINAL EN MANGUERA HG 9/16 P/3/4 R2,1000,unidad,1
CAMBIO DE TERMINAL 7/8 JIC PARA MANG 1/2 R1,1000,unidad,1
ADAPTADOR JIC X NPT 1.1/16 X 3/4,1000,unidad,1
"ADAPTADOR JIC X NPT 1 3 /16 X 1""",1000,unidad,1
CODO 90 HG JIC X NPT 7/8 X 1/2,1000,unidad,1
TE GALV 1 1/4 LATYN,1000,unidad,1
TE GALV 1 1/2 LATYN,1000,unidad,1
TEFLON 3/4 X 40 MTS ALTA DENSIDAD,1000,unidad,1
SELLADOR H3 125 CC SALADILLO,1000,unidad,1
SELLADOR H3 25 CC SALADILLO,1000,unidad,1
TEFLON 3/4 X 10 MTS,1000,unidad,1
TEFLON 3/4 MTS ALTA DENSIDAD,1000,unidad,1
CUPLA C/B GALV 1/2 LATYN,1000,unidad,1
277 X 10 GRS LOCTITE,1000,unidad,1
TUBOS USO MECANICO 1,1000,unidad,1
VARIOS CORTE ANGULO,1000,unidad,1
ACEITE TRANSMISION,1000,unidad,1
THINNER HYDRA 501 X 18,1000,unidad,1
DILUYENTE P/POLI X 18,1000,unidad,1
CRISTALBA BRILLANTE X 04,1000,unidad,1
PETRILAC TINTA CEDRO X 240,1000,unidad,1
HYDRARRAS X 04,1000,unidad,1
TF FS 6306-A NEUM MULT C/PL,1000,unidad,1
"3121-10094 BARRA REDONDA 304 12,00 ""L""",1000,unidad,1
"3141-13352 CCC CON COSTURA 304 12,70 X 1,20 PE ""L""",1000,unidad,1
"3141-13692 CCC CON COSTURA 304 31,75 X 1,20 PEGR400",1000,unidad,1
"0102-23045 CHAPA 304 3,00 1250 X 2500 2B C1 A",1000,unidad,1
"0102-22140 CHAPA 304 1,00 1000 X 2000 2B C1 A",1000,unidad,1
ARANDELA PLANA 7/8 ZINC,1000,unidad,1
30 MTS CABLE SOLDADURA 35MM,1000,unidad,1
THINNER 501 MULTIPLUS X 200LTS,1000,unidad,1
CONVERTIDOR 9013 X 4,1000,unidad,1
ESMALTE A POLIU GLOBAL SUR 0100 X 03,1000,unidad,1
ZEOCAR MASILLA FORMULA POL X 04,1000,unidad,1
BARRA CHAVETA CUADRADA 20X12X30,1000,unidad,1
"BULON PULIDO UNC GALV AZUL 1/4 X 3/4""",1000,unidad,1
"BULON PULIDO UNC GALV.AZUL 5/16X1""",1000,unidad,1
"TUERCA EXAGONAL LIVIANA UNC NATURAL 5/16""",1000,unidad,1
"KGR DE ARANDELA PLANA H GALV AZUL 1/2""",1000,unidad,1
"BULON GRADO 5 UNC DORADO 1/2X1 1/2""",1000,unidad,1
"TUERCA AUTOFRENANTE UNC GALV AZUL 1/2""",1000,unidad,1
"KGR DE ARANDELA PLANA H GALV AZUL 5/16""",1000,unidad,1
TUBOS USO MECANICO 4,1000,unidad,1
TUBOS USO MECANICO 3,1000,unidad,1
TUBOS USO MECANICO 21/2,1000,unidad,1
UPN X 6 MTS 80,1000,unidad,1
PLANCHUELAS 5X1 / 4,1000,unidad,1
PLANCHUELAS 1.1/2X1/4,1000,unidad,1
PLANCHUELAS 1X3/16,1000,unidad,1
"CA EST RECT 40X20X1,6",1000,unidad,1
