nombre,cantidad,unidad_medida,stock_minimo
PLATO 6 AGUJS M.BENZ 1114,1000,unidad,1
SPICER,1000,unidad,1
HORQUILLA MB 1114,1000,unidad,1
ACOP SOLDAR MB 1114-3500,1000,unidad,1
MB-11,1000,unidad,1
1209 KTVH.C3,1000,unidad,1
1209 KTVH C3,1000,unidad,1
LAMPARA LED 15 W INTERLEC,1000,unidad,1
LAMPARA LED 12 W INTERLEC FRIA,1000,unidad,1
RELOJ DIGITAL INTERLEC MOD TC GE2,1000,unidad,1
RUCAR PAÑO C CORDON,1000,unidad,1
"VALV RET HORIZONTAL CLAPETA 4""",1000,unidad,1
"1/2 NIPLE 04 "" X 10CM",1000,unidad,1
"DISCO C DEPRIM OXIDO XPERT 178X6,4",1000,unidad,1
"DISCO PLANO OXIDO XPERT 178X1,6",1000,unidad,1
ACCESORIOS,1000,unidad,1
FABRICAR CARDAN CON BALANCEO MB 1114 700MM CON CAÑO 70MM SIN COSTURA,1000,unidad,1
FUELLE,1000,unidad,1
FARO 650 CRISTAL,1000,unidad,1
FARO 650 AMBAR,1000,unidad,1
CAJA P/12 TERMICAS CONEXTUBE EXTERIOR,1000,unidad,1
CAJA RECTANGULAR EXT PVC RICHI,1000,unidad,1
CURVA 20 SICA,1000,unidad,1
FOTOCONTROL 3 CABLES MOD VCF - 03,1000,unidad,1
REFLECTOR LED 50W JEG,1000,unidad,1
"CAÑO SICA DE 20""PVC",1000,unidad,1
TERMICA BIPOLAR 25 AMP STECK,1000,unidad,1
DISYUNTOR BIPOLAR 40AMP STECK,1000,unidad,1
KIT DE TORNILLOS Y TARUGOS Nº6,1000,unidad,1
UPC 206 BLP,1000,unidad,1
HIPERCLORITO DE SODIO,1000,unidad,1
PERNO TENSOR 125MM SUSPEMSYS,1000,unidad,1
TUERCA M24 SUSPENSYS 2000 ADEL SUSPENSYS,1000,unidad,1
BUJE DE TENSOR SILENTBLOCK 2000 ADEL SUSPENSYS,1000,unidad,1
CONJUNTO COMPLEJO PERNO SUSP NEUMATICA SUSPENSYS,1000,unidad,1
PERNOS DE TENSOR DE 24 X 150MM CON TUERCA AUTOFRENANTE,1000,unidad,1
ARO GIRATORIO 1108 X 90 SIMPLE HILERA SIMIL R,1000,unidad,1
AFLOJA TODO DIGOCOL X 440,1000,unidad,1
REMERAS REFORZADAS LISAS XXL/XXXL,1000,unidad,1
CORREA EVER WEAR B-046,1000,unidad,1
CORREA EVER WEAR B-063,1000,unidad,1
PANTALON CARGO PAMPERO,1000,unidad,1
CAMISA OMBU AZULINO/BEIGE 36/48,1000,unidad,1
VALVULA DESCARGA RAPIDA M 16/M -22/M-16,1000,unidad,1
VALVULA DESC RAPIDA 1XM22 - 3XM16-,1000,unidad,1
VALVULA DESCARGA RAPIDA M-16/M -22/M-16,1000,unidad,1
VALVULA DESCARGA RAPIDA 1XM22 -3XM16-,1000,unidad,1
BUJE SUSP 68 2X30X104,1000,unidad,1
PLAN 25 MB FTTH,1000,unidad,1
TOBERAS,1000,unidad,1
PORTA PICOS,1000,unidad,1
"ARANDELAS TETONES DE 24MM X 1/4"" ESP",1000,unidad,1
"VALVULA DE SEGURIDAD TIPO POP 0 1 1/4"" ASIENTO BRONCE",1000,unidad,1
RADIADOR 400X400 PARA ACEITE HIDRAULICO CAMION HORMIGONERO CON ELECTROVENTILADOR 24V,1000,unidad,1
CA EST RECT 60X40X2,1000,unidad,1
VARIOS CORTES TUBO,1000,unidad,1
CORREAS SPBX-2000 - 5VX-790 CARLISIE,1000,unidad,1
BULON C/REDONDA C/C SIN TUERCA 8X44,1000,unidad,1
200/2000 TORNILLO TANQUE ZINC 5/32X1/2 X 2000,1000,unidad,1
TUERCA ZINC BAJAS/32,1000,unidad,1
CODO HH 1/2 X 90º PPP IPS,1000,unidad,1
TE PPP 1/2 IPS,1000,unidad,1
CAÑO BICAPA 1/2 T/AZUL POLIPROPILENO IZZ,1000,unidad,1
CUPLA RED PPP 3/4 X 1/2 IPS,1000,unidad,1
U.D.C. PPP 3/4 IPS,1000,unidad,1
CODO HH 3/4 X 90º PPP IPS,1000,unidad,1
LLAVE DE PASO PPP 1/2 IPS,1000,unidad,1
DETER AL 30% C /COLOR,1000,unidad,1
BIDON X6,1000,unidad,1
REVIVIDOR NEGRO X 500CC,1000,unidad,1
REVIVIDOR SILICONADO X 250 CC,1000,unidad,1
JUEGOS POR DUPLICADO REMITOS TIPO R NUMEADOS,1000,unidad,1
DECAPANTE LIQUIDO BIDON X 30 LITROS,1000,unidad,1
"SK-510 AL 3/4""",1000,unidad,1
"SK-513 AL 3/4""",1000,unidad,1
"SK-509 AL 3/4""",1000,unidad,1
"SK-508 AL 3/4""",1000,unidad,1
"PLACA DE SEPARACION DE 0,5MM",1000,unidad,1
PLACA DE SEPARACION DE 1MM,1000,unidad,1
"PLACA DE SEPARACION DE 1,5MM",1000,unidad,1
"RUEDA PILOTO COCIDO 8"" X 2""",1000,unidad,1
PASTA DE PULIR ROSA ALTO BRILLO,1000,unidad,1
274-JB MB 13,1000,unidad,1
"CAMACHO C/HIERRO 3""",1000,unidad,1
CONO BALIZADOR DE 55CM,1000,unidad,1
TANQUE DE AGUA 25 L NEGRO C/JABONERA,1000,unidad,1
CUPLAS DE 75 X 250,1000,unidad,1
ABRAZADERAS REFORZ AB112,1000,unidad,1
UPN X 6 MTS 100,1000,unidad,1
"CHA ACAN GALVA 0,50 PROC 44 4500X2",1000,unidad,1
"CHA ACAN GALVA 0,50 PROC 44 3500X1",1000,unidad,1
TF ZF 16S - 1585 TD NEUM M C/PL,1000,unidad,1
EJE PROLONGADOR TF ZF 16S-1585,1000,unidad,1
TF ZF 16AS-2630T0 NEUM M C/PLALTRONIC 16S - 2230,1000,unidad,1
EJE PROLONGADOR TF ZF 16AS-2630 TF 1344,1000,unidad,1
COD GALVANIZADO 3/4,1000,unidad,1
BULL EXAGONAL A8.8 1 X 250 14H,1000,unidad,1
"TUER AUTOF AL ACER TOZA 1""X14""",1000,unidad,1
TORN ALLEN CI A 129 RE 3/8 16H 13,1000,unidad,1
"CODO GALV 1/4 90"" MH DEMA",1000,unidad,1
"COLA TRASERA 2""1/2",1000,unidad,1
"CAMACHO HIERRO 2"" 1/2",1000,unidad,1
"HEMBRA ROSCA MACHO 2""1/2",1000,unidad,1
"TAPA MANIJA BRONCE 2"" 1/2",1000,unidad,1
ARANDELA PERNO DE BALANCIN M.H.,1000,unidad,1
"BUJE BALAN POLIPRO 100 X 86,5",1000,unidad,1
CENTRO DE ELASTICO 7/16X160 SAE,1000,unidad,1
CRISTALINO 8X12,1000,unidad,1
CRISTALINO 5X10,1000,unidad,1
PV-08 PTA AUTO GRANDE,1000,unidad,1
PV-14 BAUL GRANDE C/ESTAÑA,1000,unidad,1
"CA,MISA OMBU AZULINO BEIGE 36/43",1000,unidad,1
PANTALON OMBU AZULINO BEIGE BLANCO 35/50,1000,unidad,1
NITRILO,1000,unidad,1
LATERAL MULTIPLICADA SEP 1MM SALIDA Z15,1000,unidad,1
PORTAVOLQUETE S/LLAVE GIRO DERECHO,1000,unidad,1
"JUEGO DE ACOPLES RAPIDOS 3/4"" MACHO / HEMBRA",1000,unidad,1
MANGO ESTRIADO COMUN Z15 SIN CARGO,1000,unidad,1
REGULADOR PH X 6 LTS,1000,unidad,1
SELLAROSCAS H3,1000,unidad,1
HOJA DE SIERRA BIMETAL 18 DTS,1000,unidad,1
RUEDAS,1000,unidad,1
FLEXIBLE C/GOMA RAMALLADO AGUA 1/2 X 40 CM,1000,unidad,1
GOMA ASIENTO,1000,unidad,1
CABLE BIPOLAR 2 X 1,1000,unidad,1
FASTIX,1000,unidad,1
HOJA DE CHAPA PERFORADA R/8/18 ( 1000 X 2000 MM),1000,unidad,1
HIDRAULICO BP 68,1000,unidad,1
ESMALTE A POLIU NARANJA 0100 X 03,1000,unidad,1
ESMALTE A POLIU GRIS QUIMIGUAY 0100 X 03,1000,unidad,1
SATINOL BLANCO X 01,1000,unidad,1
PINCEL SERIE L-J N 20,1000,unidad,1
TERMICA BIPOLAR 25 AMP SCHNEIDER,1000,unidad,1
LAMPARA GOTA 7W ALIC CALIDA,1000,unidad,1
"VALVULA ESFERA PN 25 PASO ESTANDAR CONSTRUCCION EN LATON UNE-EN 12165 CROMADO ASIENTOS PTFE EXTREMOS ROSCA GAS(BSP) H-H- ISO 228/1 TEMP MAX 110ºC MANDO MANUAL POR PALANCA DE ACERO DIAMETRO 1 1/4"" MARCA:GENEBRE",1000,unidad,1
ENTRERROSCA NPT 3/4,1000,unidad,1
ADAPTADOR JIC X NPT 1.1/16 X 1,1000,unidad,1
"ACOPLE A PALANCA POLIPROPILENO (TIPO A) 1""",1000,unidad,1
"ACOPLE A PALANCA POLIPROPILENO (TIPO D) 1""",1000,unidad,1
VACUOMETRO DIAM 100 SALIDA INF R 1/2 NPT,1000,unidad,1
ACOPLE A PALANCA POLIPROPILENO (TIPO B) 1,1000,unidad,1
MANG 3/4 R1 X 700MM MG X MG 3/4 NPT,1000,unidad,1
MANG 1/2 R1 X 700MM CODO 90 MG 1/4 NPT X MG 3/4,1000,unidad,1
"KRG DE ARANDELA PLANA Hº GALV AZUL 1/4""",1000,unidad,1
"TUERCA AUTOPERFORANTE 5/16""",1000,unidad,1
"BULON GRADO 5 UNC DORADO 1/2 X 1 1/2""",1000,unidad,1
PLANCHUELAS 1.1/ 2 X 1/ 4,1000,unidad,1
VARIOS CORTE PLANCH,1000,unidad,1
ABRAZADERAS 12MM 90-110,1000,unidad,1
ABRAZADERAS 12MM 60-80,1000,unidad,1
ABRAZADERAS 12MM 23-35,1000,unidad,1
"CABLE EXTENSION SENSOR 5,1 MTS",1000,unidad,1
CUPLA DE 75 X 250,1000,unidad,1
ABRAZADERAS REFORZ AB 112,1000,unidad,1
"ACOPLE ATMOSFERICOS UNION BRONCE 2"" 1/2",1000,unidad,1
